BusinessName,Date,CustomerID,Product,Quantity,TotalAmount
Coffee Heaven,2024-12-24,8171,Product D,1,297.21
Coffee Heaven,2024-12-24,7577,Product D,6,298.26
Coffee Heaven,2024-12-24,3485,Product C,7,35.94
Coffee Heaven,2024-12-24,4440,Product C,6,197.74
Coffee Heaven,2024-12-24,2862,Product A,5,262.25
Coffee Heaven,2024-12-24,5731,Product A,6,116.27
Coffee Heaven,2024-12-24,3433,Product A,8,76.6
Coffee Heaven,2024-12-24,7989,Product B,6,207.62
Coffee Heaven,2024-12-24,6451,Product D,10,152.78
Coffee Heaven,2024-12-24,5101,Product B,9,44.37
Coffee Heaven,2024-12-24,3328,Product C,5,187.55
Coffee Heaven,2024-12-24,9427,Product A,8,151.38
Coffee Heaven,2024-12-24,4924,Product A,1,107.85
Coffee Heaven,2024-12-24,5184,Product D,9,89.25
Coffee Heaven,2024-12-24,9426,Product D,1,30.36
Coffee Heaven,2024-12-24,2370,Product B,10,298.95
Coffee Heaven,2024-12-24,6838,Product C,1,272.7
Coffee Heaven,2024-12-24,6846,Product A,3,173.09
Coffee Heaven,2024-12-24,2521,Product B,1,48.25
Coffee Heaven,2024-12-24,2592,Product D,2,66.92
Coffee Heaven,2024-12-24,9120,Product A,6,275.28
Coffee Heaven,2024-12-24,4433,Product D,6,159.07
Coffee Heaven,2024-12-24,1431,Product D,4,79.58
Coffee Heaven,2024-12-24,1418,Product D,6,210.95
Coffee Heaven,2024-12-24,4326,Product A,7,209.88
Coffee Heaven,2024-12-24,8851,Product C,3,22.91
Coffee Heaven,2024-12-24,2617,Product A,1,282.47
Coffee Heaven,2024-12-24,4419,Product A,7,282.22
Coffee Heaven,2024-12-24,8199,Product B,2,169.82
Coffee Heaven,2024-12-24,8233,Product A,8,101.36
Coffee Heaven,2024-12-24,1244,Product B,6,38.5
Coffee Heaven,2024-12-24,3302,Product D,2,285.02
Coffee Heaven,2024-12-24,6013,Product C,1,143.09
Coffee Heaven,2024-12-24,8780,Product D,4,251.36
Coffee Heaven,2024-12-24,1186,Product A,10,237.65
Coffee Heaven,2024-12-24,7835,Product C,10,276.88
Coffee Heaven,2024-12-24,1684,Product D,9,43.84
Coffee Heaven,2024-12-24,6604,Product A,3,238.12
Coffee Heaven,2024-12-24,9672,Product B,8,274.76
Coffee Heaven,2024-12-24,2520,Product B,6,298.76
Coffee Heaven,2024-12-24,4557,Product C,4,254.58
Coffee Heaven,2024-12-24,2595,Product A,8,105.6
Coffee Heaven,2024-12-24,3520,Product B,3,140.61
Coffee Heaven,2024-12-24,6742,Product C,4,37.97
Coffee Heaven,2024-12-24,9390,Product C,3,154.78
Coffee Heaven,2024-12-24,9237,Product D,3,83.74
Coffee Heaven,2024-12-24,1678,Product B,1,241.09
Coffee Heaven,2024-12-24,2937,Product C,7,160.9
Coffee Heaven,2024-12-24,3091,Product B,2,170.31
Coffee Heaven,2024-12-24,4347,Product A,3,21.33
